,Tag No.,report_date,Miles,Tagged_State,Tagged_Date,Reported_State,Reported_Country,Reported_Date
1508,AHL464,"02-21-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-21-02
1509,AHL526,"02-21-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-21-02
1510,AHL532,"02-21-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-21-02
1511,AHL528,"02-20-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-20-02
1512,AHL477,"02-18-02 El Rosario, MICH, MX",1105.0,OK,09-30-01,MICH,MX,02-18-02
1513,AHL117,"03-13-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,03-13-02
1514,AHL197,"03-06-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,03-06-02
1515,AHL184,"03-06-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,03-06-02
1516,AHL390,"03-01-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,03-01-02
1517,AHL295,"02-28-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,02-28-02
1518,AHL319,"02-13-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,02-13-02
1519,AHL266,"02-11-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,02-11-02
1520,AHL183,"01-21-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,01-21-02
1521,AHL174,"02-13-02 El Rosario, MICH, MX",1105.0,OK,09-29-01,MICH,MX,02-13-02
1522,AFA319,"01-11-02 El Rosario, MICH, MX",1104.0,OK,09-29-01,MICH,MX,01-11-02
1523,AFA622,"03-13-02 El Rosario, MICH, MX",1104.0,OK,09-29-01,MICH,MX,03-13-02
1524,AFA323,"02-26-02 El Rosario, MICH, MX",1104.0,OK,09-26-01,MICH,MX,02-26-02
1525,AFA450,"03-13-02 El Rosario, MICH, MX",1104.0,OK,10-04-01,MICH,MX,03-13-02
1526,AFA485,"03-06-02 Sierra Chincua, MICH, MX",1104.0,OK,10-04-01,MICH,MX,03-06-02
1527,AFA468,"02-26-02 El Rosario, MICH, MX",1104.0,OK,10-04-01,MICH,MX,02-26-02
1528,AFA641,"02-11-02 El Rosario, MICH, MX",1104.0,OK,09-29-01,MICH,MX,02-11-02
1529,AFA244,"02-27-02 El Rosario, MICH, MX",1104.0,OK,09-25-01,MICH,MX,02-27-02
1530,AFA201,"02-26-02 El Rosario, MICH, MX",1104.0,OK,09-23-01,MICH,MX,02-26-02
1531,AEY995,"02-26-02 Sierra Chincua, MICH, MX",1100.0,OK,10-02-01,MICH,MX,02-26-02
1532,AEY767,"02-20-02 Sierra Chincua, MICH, MX",1100.0,OK,09-29-01,MICH,MX,02-20-02
1533,AEY660,"02-20-02 Sierra Chincua, MICH, MX",1100.0,OK,09-26-01,MICH,MX,02-20-02
1534,AFA688,"02-26-02 Sierra Chincua, MICH, MX",1100.0,OK,09-26-01,MICH,MX,02-26-02
1535,AEZ897,"02-20-02 Sierra Chincua, MICH, MX",1100.0,OK,10-03-01,MICH,MX,02-20-02
1536,AEZ868,"01-30-02 Sierra Chincua, MICH, MX",1100.0,OK,10-03-01,MICH,MX,01-30-02
1537,AEZ714,"03-06-02 Sierra Chincua, MICH, MX",1100.0,OK,10-02-01,MICH,MX,03-06-02
1538,AEZ600,"02-20-02 Sierra Chincua, MICH, MX",1100.0,OK,10-02-01,MICH,MX,02-20-02
1539,AHM577,"03-04-02 Sierra Chincua, MICH, MX",1100.0,OK,10-04-01,MICH,MX,03-04-02
1540,AHM867,"03-19-02 Sierra Chincua, MICH, MX",1100.0,OK,10-02-01,MICH,MX,03-19-02
1541,AHM746,"03-01-02 Sierra Chincua, MICH, MX",1100.0,OK,10-02-01,MICH,MX,03-01-02
1542,AHL215,"01-30-02 Sierra Chincua, MICH, MX",1100.0,OK,09-29-01,MICH,MX,01-30-02
1543,ADX077,"03-13-02 El Rosario, MICH, MX",1098.0,AR,,MICH,MX,03-13-02
1544,139PR,"02-26-02 El Rosario, MICH, MX",1098.0,AR,,MICH,MX,02-26-02
1545,ADX093,"02-18-02 El Rosario, MICH, MX",1098.0,AR,,MICH,MX,02-18-02
1546,646PP,"01-11-02 El Rosario, MICH, MX",1098.0,AR,10-02-00,MICH,MX,01-11-02
1547,AEW470,"01-21-02 El Rosario, MICH, MX",1090.0,OK,10-01-01,MICH,MX,01-21-02
1548,AEW495,"02-26-02 El Rosario, MICH, MX",1090.0,OK,09-29-01,MICH,MX,02-26-02
1549,AEY021,"03-08-02 El Rosario, MICH, MX",1090.0,OK,10-04-01,MICH,MX,03-08-02
1550,AEX999,"02-26-02 El Rosario, MICH, MX",1090.0,OK,10-04-01,MICH,MX,02-26-02
1551,AEX897,"02-26-02 El Rosario, MICH, MX",1090.0,OK,10-04-01,MICH,MX,02-26-02
1552,AEX971,"01-21-02 El Rosario, MICH, MX",1090.0,OK,10-04-01,MICH,MX,01-21-02
1553,AEW725,"02-26-02 El Rosario, MICH, MX",1090.0,OK,10-03-01,MICH,MX,02-26-02
1554,AEW808,"01-18-02 El Rosario, MICH, MX",1090.0,OK,10-03-01,MICH,MX,01-18-02
1555,AEW696,"03-09-02 El Rosario, MICH, MX",1090.0,OK,10-02-01,MICH,MX,03-09-02
1556,AEW590,"02-26-02 El Rosario, MICH, MX",1090.0,OK,10-02-01,MICH,MX,02-26-02
1557,AEW699,"02-21-02 El Rosario, MICH, MX",1090.0,OK,10-02-01,MICH,MX,02-21-02
1558,AEW526,"02-26-02 El Rosario, MICH, MX",1090.0,OK,10-01-01,MICH,MX,02-26-02
1559,AEW532,"02-21-02 El Rosario, MICH, MX",1090.0,OK,10-01-01,MICH,MX,02-21-02
1560,AEW542,"02-21-02 El Rosario, MICH, MX",1090.0,OK,10-01-01,MICH,MX,02-21-02
1561,873TF," El Rosario, MICH, MX",1088.0,OK,09-16-00,MICH,MX,
1562,AEX875,"03-08-02 Sierra Chincua, MICH, MX",1085.0,OK,10-04-01,MICH,MX,03-08-02
1563,AEW617,"02-27-02 Sierra Chincua, MICH, MX",1085.0,OK,10-04-01,MICH,MX,02-27-02
1564,AEX921,"02-26-02 Sierra Chincua, MICH, MX",1085.0,OK,10-04-01,MICH,MX,02-26-02
1565,AEY019,"02-26-02 Sierra Chincua, MICH, MX",1085.0,OK,10-04-01,MICH,MX,02-26-02
1566,AEW724,"03-08-02 Sierra Chincua, MICH, MX",1085.0,OK,10-03-01,MICH,MX,03-08-02
1567,AEW873,"03-01-02 Sierra Chincua, MICH, MX",1085.0,OK,10-03-01,MICH,MX,03-01-02
1568,AEW680,"03-08-02 Sierra Chincua, MICH, MX",1085.0,OK,10-02-01,MICH,MX,03-08-02
1569,AEW686,"02-27-02 Sierra Chincua, MICH, MX",1085.0,OK,10-02-01,MICH,MX,02-27-02
1570,AJL101,"11-04-01 Houston, TX",1063.0,MN,10-16-01,TX,,11-04-01
1571,AJC550,"10-09-01 DeLand, FL",991.0,ONT,09-15-01,FL,,10-09-01
1572,263TG,"02-26-02 El Rosario, MICH, MX",962.0,TX,10-13-01,MICH,MX,02-26-02
1573,ABW918,"10-04-01 Dallas, TX",954.0,OH,08-31-01,TX,,10-04-01
1574,AGU369,"03-03-02 Cerro Pelon, MICH, MX",948.0,TX,09-29-01,MICH,MX,03-03-02
1575,AFA895,"02-11-02 El Rosario, MICH, MX",944.0,TX,09-25-01,MICH,MX,02-11-02
1576,AFA885,"01-20-02 El Rosario, MICH, MX",944.0,TX,09-25-01,MICH,MX,01-20-02
1577,AJN474,"02-26-02 El Rosario, MICH, MX",943.0,TX,10-10-01,MICH,MX,02-26-02
1578,AJN326,"02-26-02 El Rosario, MICH, MX",943.0,TX,10-01-01,MICH,MX,02-26-02
1579,AJN324,"01-24-02 El Rosario, MICH, MX",943.0,TX,10-01-01,MICH,MX,01-24-02
1580,AJN467,"03-13-02 El Rosario, MICH, MX",943.0,TX,10-10-01,MICH,MX,03-13-02
1581,AJN432,"02-14-02 El Rosario, MICH, MX",943.0,TX,10-03-01,MICH,MX,02-14-02
1582,AJN409,"03-04-02 El Rosario, MICH, MX",943.0,TX,10-02-01,MICH,MX,03-04-02
1583,AJN547,"02-20-02 Sierra Chincua, MICH, MX",939.0,TX,10-15-01,MICH,MX,02-20-02
1584,AJN363,"03-08-02 Sierra Chincua, MICH, MX",939.0,TX,10-01-01,MICH,MX,03-08-02
1585,AFB188,"03-03-02 Cerro Pelon, MICH, MX",937.0,TX,09-26-01,MICH,MX,03-03-02
1586,AGU145,"03-01-02 Sierra Chincua, MICH, MX",934.0,TX,10-20-01,MICH,MX,03-01-02
1587,AGU632,"03-04-02 El Rosario, MICH, MX",933.0,TX,10-21-01,MICH,MX,03-04-02
1588,AGU608,"01-21-02 El Rosario, MICH, MX",933.0,TX,10-19-01,MICH,MX,01-21-02
1589,AGU587,"02-13-02 El Rosario, MICH, MX",933.0,TX,10-17-01,MICH,MX,02-13-02
