,Tag No.,Tagged State,Tagged Date,Reported State,Reported Country,Reported Date,Miles
167,ADS039,MN,2001-08-15,MICH,MEXICO,2002-02-13,1857.0
168,ACD927,MI,2001-09-14,MICH,MEXICO,2002-03-08,1857.0
169,ADR904,MN,2001-08-16,MICH,MEXICO,2002-02-26,1857.0
170,ADR847,MN,2001-08-15,MICH,MEXICO,2002-01-06,1857.0
171,ADR827,MN,2001-08-14,MICH,MEXICO,2002-02-26,1857.0
172,ADR742,MN,2001-08-13,MICH,MEXICO,2002-01-31,1857.0
173,AFT776,OH,2001-09-11,MICH,MEXICO,2002-02-26,1855.0
174,AHE229,MI,2001-09-04,MICH,MEXICO,2002-02-26,1854.0
175,AHE222,MI,2001-09-01,MICH,MEXICO,2002-02-21,1854.0
176,AHE202,MI,2001-08-23,MICH,MEXICO,2002-02-13,1854.0
177,ADS242,MN,2001-08-19,MICH,MEXICO,2002-03-03,1854.0
178,ADT483,MN,2001-08-25,MICH,MEXICO,2002-02-26,1853.0
179,ADT555,MN,2001-08-31,MICH,MEXICO,2002-02-21,1853.0
180,ADT620,MN,2001-09-11,MICH,MEXICO,2002-02-18,1853.0
181,ADT457,MN,2001-08-25,MICH,MEXICO,2002-01-21,1853.0
182,ADT419,MN,2001-08-18,MICH,MEXICO,2002-03-13,1853.0
183,ADR857,MN,2001-08-15,MICH,MEXICO,2002-02-27,1852.0
184,AFY365,MI,2001-08-28,MICH,MEXICO,2002-03-04,1850.0
185,ACD580,MI,2001-09-08,MICH,MEXICO,2002-02-26,1850.0
186,ADT448,MN,2001-08-25,MICH,MEXICO,2002-03-01,1849.0
187,ACZ875,WI,2001-09-12,MICH,MEXICO,2002-01-21,1848.0
188,ACE723,MI,2001-09-11,MICH,MEXICO,2002-03-03,1847.0
189,AFY596,MI,2001-09-16,MICH,MEXICO,2002-02-28,1844.0
190,AFY547,MI,2001-09-10,MICH,MEXICO,2002-02-16,1844.0
191,AFY824,MI,2001-09-10,MICH,MEXICO,2002-02-26,1844.0
192,ADR391,MN,2001-08-13,MICH,MEXICO,2002-03-13,1842.0
193,ADR368,MN,2001-08-13,MICH,MEXICO,2002-03-04,1842.0
194,ADR389,MN,2001-08-13,MICH,MEXICO,2002-02-28,1842.0
195,ADR307,MN,2001-08-13,MICH,MEXICO,2002-02-26,1842.0
196,ADR339,MN,2001-08-13,MICH,MEXICO,2002-02-21,1842.0
197,ADR352,MN,2001-08-13,MICH,MEXICO,2002-01-11,1842.0
198,AFY425,MI,2001-09-03,MICH,MEXICO,2002-02-13,1841.0
199,ADS308,MN,2001-08-20,MICH,MEXICO,2002-02-26,1838.0
200,ADR338,MN,2001-08-13,MICH,MEXICO,2002-03-08,1838.0
201,ADT065,MN,2001-09-05,MICH,MEXICO,2002-02-28,1838.0
202,ADT028,MN,2001-09-05,MICH,MEXICO,2002-02-26,1838.0
203,ADT058,MN,2001-09-05,MICH,MEXICO,2002-02-21,1838.0
204,ADT007,MN,2001-09-05,MICH,MEXICO,2002-01-21,1838.0
205,ADS959,MN,2001-09-01,MICH,MEXICO,2002-03-04,1838.0
206,ADS923,MN,2001-08-29,MICH,MEXICO,2002-03-09,1838.0
207,ADS817,MN,2001-08-28,MICH,MEXICO,,1838.0
208,ADS828,MN,2001-08-28,MICH,MEXICO,2002-03-01,1838.0
209,ADS756,MN,2001-08-28,MICH,MEXICO,2002-02-26,1838.0
210,ADS773,MN,2001-08-28,MICH,MEXICO,2002-02-11,1838.0
211,ADS603,MN,2001-08-23,MICH,MEXICO,2002-02-20,1838.0
212,ADS650,MN,2001-08-23,MICH,MEXICO,2002-01-18,1838.0
213,ADS585,MN,2001-08-22,MICH,MEXICO,2002-02-27,1838.0
214,ADS461,MN,2001-08-21,MICH,MEXICO,2002-02-13,1838.0
215,ADS339,MN,2001-08-20,MICH,MEXICO,2002-03-13,1838.0
216,ADS375,MN,2001-08-20,MICH,MEXICO,2002-03-12,1838.0
217,ADS402,MN,2001-08-20,MICH,MEXICO,2002-01-20,1838.0
218,ADS425,MN,2001-08-20,MICH,MEXICO,2002-01-11,1838.0
219,025SP,MN,2000-08-19,MICH,MEXICO,2002-02-21,1838.0
220,ADS590,MN,2001-08-22,MICH,MEXICO,2002-01-20,1836.0
221,AHR876,WI,2001-09-11,MICH,MEXICO,2002-03-08,1834.0
222,ADT094,MN,2001-09-05,MICH,MEXICO,2002-02-26,1834.0
223,ADS917,MN,2001-08-29,MICH,MEXICO,2002-02-27,1834.0
224,ADS848,MN,2001-08-28,MICH,MEXICO,2002-02-20,1834.0
225,ADS695,MN,2001-08-23,MICH,MEXICO,2002-03-04,1834.0
226,ADS449,MN,2001-08-20,MICH,MEXICO,2002-03-06,1834.0
227,ACE709,MI,,MICH,MEXICO,2002-01-11,1833.0
228,YH930,MI,2001-09-22,MICH,MEXICO,2002-01-21,1829.0
229,ACF304,MI,2001-08-28,MICH,MEXICO,2002-03-04,1828.0
230,ACF283,MI,2001-08-27,MICH,MEXICO,2002-03-01,1828.0
231,ACF284,MI,2001-08-27,MICH,MEXICO,2002-02-27,1828.0
232,YH901,MI,2001-09-22,MICH,MEXICO,2002-02-27,1825.0
233,ADB239,WI,2001-08-29,MICH,MEXICO,2002-03-09,1825.0
234,ACF441,MI,2001-08-30,MICH,MEXICO,2002-03-04,1821.0
235,222YL,WV,2001-09-26,MICH,MEXICO,2002-02-26,1814.0
236,ABW890,OH,2001-08-29,MICH,MEXICO,2002-02-27,1810.0
237,ADM545,MN,2001-08-26,MICH,MEXICO,2002-02-26,1807.0
238,ABX027,OH,2001-09-23,MICH,MEXICO,2002-02-28,1807.0
239,ABW857,OH,2001-08-27,MICH,MEXICO,2002-02-13,1807.0
240,ACE942,MI,2001-08-29,MICH,MEXICO,2002-02-16,1804.0
241,ABX028,OH,2001-09-23,MICH,MEXICO,2002-03-08,1803.0
242,ABW976,OH,2001-09-05,MICH,MEXICO,2002-02-27,1803.0
243,AHG703,MN,2001-09-03,MICH,MEXICO,2002-03-01,1801.0
244,ADH263,MN,2001-08-18,MICH,MEXICO,2002-02-26,1799.0
245,ADF431,MN,2001-08-26,MICH,MEXICO,2002-03-03,1798.0
246,ADJ599,MN,2001-09-02,MICH,MEXICO,2002-03-04,1793.0
247,ADJ582,MN,2001-08-28,MICH,MEXICO,2002-03-13,1793.0
248,ADJ485,MN,2001-08-27,MICH,MEXICO,2002-03-09,1793.0
249,ADJ462,MN,2001-08-26,MICH,MEXICO,2002-01-24,1793.0
250,ADJ430,MN,2001-08-18,MICH,MEXICO,2002-02-28,1793.0
251,ADJ348,MN,,MICH,MEXICO,2002-02-11,1793.0
252,ADJ774,MN,2001-09-11,MICH,MEXICO,2002-02-28,1793.0
253,ADJ545,MN,2001-08-27,MICH,MEXICO,2002-02-18,1793.0
254,ADJ335,MN,2001-08-11,MICH,MEXICO,2002-02-11,1793.0
255,ADK528,MN,2001-10-11,MICH,MEXICO,2002-02-27,1793.0
256,ADE158,MN,2001-08-25,MICH,MEXICO,2002-03-13,1791.0
257,ADE146,MN,2001-08-20,MICH,MEXICO,2002-01-06,1791.0
258,ADC778,MN,2001-08-24,MICH,MEXICO,2002-02-26,1791.0
259,AEA927,WI,,MICH,MEXICO,2002-02-26,1790.0
260,ADI274,MN,2001-08-30,MICH,MEXICO,2002-02-27,1788.0
261,ADH850,MN,2001-09-18,MICH,MEXICO,2002-03-04,1786.0
262,ADF083,MN,2001-08-24,MICH,MEXICO,2002-03-08,1783.0
263,ADF769,MN,2001-08-26,MICH,MEXICO,2002-03-09,1783.0
264,ADF763,MN,2001-08-26,MICH,MEXICO,2002-03-04,1783.0
265,ADF387,MN,2001-08-26,MICH,MEXICO,2002-02-13,1783.0
266,ADF339,MN,2001-08-23,MICH,MEXICO,2002-01-24,1783.0
267,ADF811,MN,2001-08-23,MICH,MEXICO,2002-01-21,1783.0
268,ADF219,MN,2001-08-23,MICH,MEXICO,2002-01-11,1783.0
269,ADF143,MN,2001-08-25,MICH,MEXICO,2002-02-28,1783.0
270,ADF189,MN,2001-08-23,MICH,MEXICO,2002-02-26,1783.0
271,AGD178,MN,2001-08-19,MICH,MEXICO,2002-03-03,1783.0
